날짜,국가명,관광객수
202001,미국,67255
202002,미국,42439
202003,미국,10570
202004,미국,6417
202005,미국,8735
202006,미국,9717
202007,미국,11922
202008,미국,13368
202009,미국,12426
202010,미국,12366
202011,미국,13100
202012,미국,12102
202101,미국,12013
202102,미국,11212
202103,미국,12321
202104,미국,12944
202105,미국,17278
202106,미국,18159
202107,미국,21775
202108,미국,20561
202109,미국,19227
202110,미국,21607
202111,미국,20123
202112,미국,16805
202201,미국,15570
202202,미국,15845
202203,미국,16968
202204,미국,30882
202205,미국,42490
202206,미국,55444
202207,미국,53942
202208,미국,50299
202209,미국,60435
202210,미국,73560
202211,미국,64861
202212,미국,63352
202301,미국,49120
