날짜,국가명,관광객수
202001,일본,203969
202002,일본,211199
202003,일본,8347
202004,일본,360
202005,일본,413
202006,일본,498
202007,일본,755
202008,일본,1275
202009,일본,794
202010,일본,927
202011,일본,1254
202012,일본,951
202101,일본,1299
202102,일본,1719
202103,일본,949
202104,일본,872
202105,일본,1403
202106,일본,875
202107,일본,881
202108,일본,2258
202109,일본,1142
202110,일본,1237
202111,일본,1623
202112,일본,1007
202201,일본,1162
202202,일본,2934
202203,일본,1397
202204,일본,2231
202205,일본,3701
202206,일본,5855
202207,일본,11789
202208,일본,26482
202209,일본,27560
202210,일본,67159
202211,일본,62422
202212,일본,84175
202301,일본,66900
