날짜,국가명,관광객수
202001,중국,481681
202002,중국,104086
202003,중국,16595
202004,중국,3935
202005,중국,5124
202006,중국,5051
202007,중국,9738
202008,중국,16275
202009,중국,15307
202010,중국,11477
202011,중국,9174
202012,중국,7987
202101,중국,7346
202102,중국,11982
202103,중국,18980
202104,중국,16830
202105,중국,14221
202106,중국,12942
202107,중국,13469
202108,중국,17103
202109,중국,19144
202110,중국,14035
202111,중국,12472
202112,중국,11691
202201,중국,9489
202202,중국,16752
202203,중국,14726
202204,중국,10230
202205,중국,11253
202206,중국,12741
202207,중국,17907
202208,중국,30248
202209,중국,29531
202210,중국,22940
202211,중국,24174
202212,중국,27367
202301,중국,24946
