region,name,status,address,service,phone,latitude,longitude
서울 동작구,신대방삼거리역점,영업중,서울특별시 동작구 상도로 60 (대방동) 1층~2층,,02-823-2377,37.4995614234716,126.927153186125
전북 익산시,익산부송점,영업중,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩 1층) .",주차,063-832-1717,35.961406370385,126.989041167117
경남 창원시 진해구,진해속천점,영업중,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층,테라스 주차,070-7786-1019,,
서울 영등포구,여의도포스트타워점,영업중,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층,주차,02-2135-5321,37.5223003029771,126.926225192863
서울 영등포구,대림역점,영업중,서울특별시 영등포구 도림로 140 대림빌딩 101호,테라스,02-834-1000,37.4930241705718,126.897628371815
부산 동래구,부산동래온천점,영업중,부산광역시 동래구 금강로 116 (온천동) 금강메디컬타워 1층,주차,051-923-5538,35.2189848849705,129.07991341737
서울 서대문구,충정로역점,영업중,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,주차,02-383-0807,37.5610226183,126.962192415514
부산 사하구,부산고신대의과대학점,영업중,부산광역시 서구 감천로 262 고신의대 강의동 1층,주차,051-710-7565,35.0810780661749,129.014512799533
대구 수성구,대구수성못DI점,영업중,대구광역시 수성구 용학로 62 1~2층,테라스 주차,053-761-7186,,
경남 진주시,경상국립대학생회관점,영업중,경상남도 진주시 진주대로 501 경상국립대 학생회관 1층,,055-772-0931,,
서울 양천구,서서울공원점,영업중,서울특별시 양천구 남부순환로58길 37 신월동 205-36,테라스 주차,070-4277-6756,37.5291587223783,126.831707115465
세종 세종시,AK&세종점,영업중,세종특별자치시 한누리대로 411 KT&G 세종타워A,주차,044-960-5377,36.5011321800617,127.258850981903
경기 고양시 일산동구,일산장항점,영업중,"경기도 고양시 일산동구 중앙로1275번길 56 (장항동, 루비튜스데이) 1~2층",주차,031-903-9991,,
전북 전주시 덕진구,전북대 후생관점,영업중,전북특별자치도 전주시 덕진구 백제대로 567 후생관 1층,주차,063-270-2174,35.8411382714422,127.131588969832
전북 전주시 덕진구,전북대 진수당점,영업중,전북 전주시 덕진구 백제대로 567 (전북대 진수당 연구동 1층) .,주차,063-270-4350,35.8411382714422,127.131588969832
전북 전주시 덕진구,전북대 중도라운지점,영업중,전북 전주시 덕진구 백제대로 567 중앙도서관 1층,주차,.,35.8411382714422,127.131588969832
서울 동대문구,경희대 청운관점,영업중,서울 동대문구 경희대로 26 청운관 지하1층,,.,37.5939491407769,127.054890960564
서울 강북구,덕성여대점,영업중,서울시 강북구 삼양로 547 1~3층,테라스 주차,02-6093-0011,,
전북 전주시 덕진구,전주백제대로점,영업중,전라북도 전주시 덕진구 백제대로 592 (금암동) 1층,주차,063-271-5056,35.8408964267771,127.1345528895
경북 예천군,경북도청점,영업중,경북 예천군 호명면 산합리 1427 1~2층,주차,054-654-0048,,
